chrom	position	gene	5p_dist	3p_dist
chr1	23092768	LUZP1	1809	6603
chr1	23092881	LUZP1	1696	6716
chr1	23092890	LUZP1	1687	6725
chr1	23093362	LUZP1	1215	7197
chr1	23436956	ASAP3	1476	2575
chr1	23438799	ASAP3	1095	2956
chr1	23521037	E2F2	1052	4144
chr1	23757004	ELOA	2169	2669
chr1	23854472	FUCA1	860	1183
chr1	23865582	FUCA1	436	1607
chr1	23868258	FUCA1	32	2011
chr1	23868283	FUCA1	7	2036
chr1	23874672	CNR2	1107	4158
chr1	23967872	SRSF10	4130	3526
chr1	24057329	MYOM3	4471	1289
chr1	24080045	MYOM3	2679	3081
chr1	24080157	MYOM3	2567	3193
chr1	24082701	MYOM3	2106	3654
chr1	24086669	MYOM3	1895	3865
chr1	24089580	MYOM3	1694	4066
chr1	24092278	MYOM3	1250	4510
chr1	24093006	MYOM3	1153	4607
chr1	24094984	MYOM3	919	4841
chr1	24095460	MYOM3	894	4866
chr1	24120724	IL22RA1	1863	954
chr1	24121594	IL22RA1	993	1824
chr1	24344928	GRHL3	1646	1188
chr1	24383915	STPG1	454	2272
chr1	24533127	RCAN3	788	6075
chr1	24533175	RCAN3	836	6027
chr1	24535214	RCAN3	1037	5826
chr1	25420665	RHCE	160	1411
chr1	25805163	SELENON	463	3851
chr1	25811771	SELENON	1211	3103
chr1	25814082	SELENON	1544	2770
chr1	25814082	ENSG00000255054	27	307
chr1	26031165	EXTL1	2007	2013
chr1	26031176	EXTL1	2018	2002
chr1	26039058	SLC30A2	1442	1807
chr1	26058512	TRIM63	844	926
chr1	26121956	PDIK1L	514	3599
chr1	26122358	PDIK1L	916	3197
chr1	26161449	FAM110D	286	2513
chr1	26169964	ZNF593OS	950	444
chr1	26169964	ZNF593	57	581
chr1	26170160	ZNF593OS	754	640
chr1	26170160	ZNF593	253	385
chr1	26170379	ZNF593OS	535	859
chr1	26177545	CNKSR1	55	2480
chr1	26190776	CATSPER4	175	1692
chr1	26191400	CATSPER4	353	1514
chr1	26198029	CATSPER4	656	1211
chr1	26199948	CATSPER4	903	964
chr1	26202630	CATSPER4	1533	334
chr1	26255600	CEP85	771	3163
chr1	26336871	CRYBG2	4030	1209
chr1	26338477	CRYBG2	3494	1745
chr1	26343953	CRYBG2	2854	2385
chr1	26344118	CRYBG2	2689	2550
chr1	26364683	ZNF683	958	670
chr1	26426501	LIN28A	748	3227
chr1	26460136	DHDDS	868	2420
chr1	26913602	NR0B2	373	792
chr1	26952030	KDF1	501	1354
chr1	26952062	KDF1	469	1386
chr1	27154266	SLC9A1	859	3878
chr1	27360975	MAP3K6	2229	2209
chr1	27362142	MAP3K6	1727	2711
chr1	27382648	CD164L2	201	745
chr1	27549971	AHDC1	3045	3383
chr1	27830816	PPP1R8	35	2305
chr1	27882794	THEMIS2	1498	1215
chr1	27955695	SMPDL3B	886	980
chr1	28236165	ATP5IF1	42	461
chr1	28863085	OPRD1	1135	8182
chr1	29148829	SRSF4	1213	1087
chr1	29148882	SRSF4	1160	1140
chr1	29317816	PTPRU	3705	1868
chr1	30715242	MATN1	1308	2522
chr1	30716054	MATN1	1095	2735
chr1	30733790	LAPTM5	855	1322
chr1	30735195	LAPTM5	705	1472
chr1	30742517	LAPTM5	148	2029
chr1	31425840	SERINC2	590	1310
chr1	31619303	HCRTR1	507	1800
chr1	31619609	HCRTR1	673	1634
chr1	31626924	HCRTR1	1618	689
chr1	31630664	PEF1	815	799
chr1	31662352	COL16A1	3877	1541
chr1	31692773	COL16A1	1321	4097
chr1	31698605	COL16A1	482	4936
chr1	31699894	COL16A1	399	5019
chr1	31731046	ADGRB2	4780	928
chr1	31756312	ADGRB2	1171	4537
chr1	32770025	KIAA1522	971	4522
chr1	32770188	KIAA1522	1134	4359
chr1	33367264	PHC2	1001	2992
chr1	33494462	ZSCAN20	2275	7181
chr1	33864466	HMGB4	388	325
chr1	34757744	GJB5	587	768
chr1	34794360	GJA4	234	1387
chr1	34794601	GJA4	475	1146
chr1	35850970	AGO4	2795	4477
chr1	36088072	TEKT2	1287	203
chr1	36088235	TEKT2	1450	40
chr1	36097557	COL8A2	2350	2319
chr1	36097923	COL8A2	1984	2685
chr1	36286551	THRAP3	518	3887
chr1	36286832	THRAP3	799	3606
chr1	36322287	EVA1B	722	258
chr1	36355326	STK40	659	2986
chr1	36422861	OSCP1	737	718
chr1	36423404	OSCP1	660	795
chr1	36455770	MRPS15	900	53
chr1	37554146	SNIP1	147	4407
chr1	37612628	RSPO1	1600	1279
chr1	37683404	C1orf109	1019	1677
chr1	37761414	EPHA10	894	4583
chr1	37945773	INPP5B	224	4226
chr1	37969450	SF3A3	1241	1533
chr1	37997832	FHL3	717	939
chr1	39448691	MACF1	20514	3826
chr1	39663394	NT5C1A	542	8526
chr1	39683970	HPCAL4	480	4120
chr1	39684484	HPCAL4	255	4345
chr1	39764664	BMP8B	1206	3620
chr1	39883459	TRIT1	45	5006
chr1	40236559	RLF	1870	4362
chr1	40307477	COL9A2	1065	1787
chr1	40495777	ZFP69	2230	566
chr1	40514887	EXO5	748	1151
chr1	40515558	EXO5	1419	480
chr1	40641940	RIMS3	480	6779
chr1	40770909	NFYC	1261	694
chr1	41018108	SLFNL1	711	1250
chr1	41580942	HIVEP3	5165	7452
chr1	41584384	HIVEP3	1723	10894
chr1	42414845	RIMKLA	1190	9387
chr1	42450056	ZMYND12	138	1392
chr1	42577032	CCDC30	2037	4646
chr1	42830447	ERMAP	252	3188
chr1	42830502	ERMAP	307	3133
chr1	42830524	ERMAP	329	3111
chr1	43243257	CFAP57	3579	484
chr1	43439615	SZT2	6958	7178
chr1	44139047	KLF18	2584	575
chr1	45329412	MUTYH	1537	171
chr1	45329412	ENSG00000288208	2617	151
chr1	45499668	CCDC163	405	1690
chr1	45566635	AKR1A1	487	920
chr1	45620207	CCDC17	2081	164
chr1	45620405	CCDC17	1883	362
chr1	45621905	CCDC17	1202	1043
chr1	45628355	GPBP1L1	2589	1052
chr1	45729703	IPP	897	2220
chr1	46031037	MAST2	3023	2714
chr1	46032703	MAST2	3806	1931
chr1	46511165	DMBX1	758	4292
chr1	46673147	TEX38	393	447
chr1	46673431	TEX38	677	163
chr1	48298747	SPATA6	1628	3375
chr1	48758912	BEND5	792	901
chr1	51361249	EPS15	2500	2663
chr1	51408279	EPS15	1363	3800
chr1	52402167	ORC1	239	2882
chr1	52784978	ZYG11B	1395	6748
chr1	52854602	ZYG11A	352	4093
chr1	52881598	ZYG11A	2001	2444
chr1	53069806	PODN	102	2900
chr1	53142461	SLC1A7	177	2521
chr1	53213557	CPT2	2059	640
chr1	53216027	CZIB	427	675
chr1	54133040	ENSG00000256407	2187	355
chr1	54133040	CDCP2	1628	354
chr1	54136674	ENSG00000256407	1888	654
chr1	54136674	CDCP2	1329	653
chr1	54179186	CYB5RL	983	5210
chr1	54195477	ENSG00000256407	303	2239
chr1	54195477	CYB5RL	416	5777
chr1	54653471	MROH7	837	3506
chr1	54653471	MROH7-TTC4	823	5044
chr1	54653616	MROH7	982	3361
chr1	54653616	MROH7-TTC4	968	4899
chr1	54653842	MROH7	1208	3135
chr1	54653842	MROH7-TTC4	1194	4673
chr1	54670856	MROH7	1818	2525
chr1	54670856	MROH7-TTC4	1804	4063
chr1	54674111	MROH7	2188	2155
chr1	54674111	MROH7-TTC4	2174	3693
chr1	54701169	MROH7	3424	919
chr1	54701169	MROH7-TTC4	3410	2457
chr1	54702209	MROH7	3697	646
chr1	54702209	MROH7-TTC4	3683	2184
chr1	54758458	PARS2	795	1561
chr1	54759078	PARS2	175	2181
chr1	54801172	TTC22	151	3250
chr1	54806101	LEXM	39	1651
chr1	54807907	LEXM	430	1260
chr1	54854229	DHCR24	1101	3132
chr1	55008589	BSND	1178	8583
chr1	55008652	BSND	1241	8520
chr1	56912476	C8A	1559	808
chr1	56912525	C8A	1608	759
chr1	56917642	C8A	1786	581
chr1	58682254	MYSM1	799	6952
chr1	59321678	FGGY	200	1673
chr1	59378799	FGGY	587	1286
chr1	61404111	NFIA	1314	7915
chr1	62114219	PATJ	4739	3882
chr1	62114235	PATJ	4755	3866
chr1	62128921	PATJ	5358	3263
chr1	62206874	L1TD1	523	3308
chr1	62207365	L1TD1	1014	2817
chr1	62209947	L1TD1	1450	2381
chr1	62210220	L1TD1	1723	2108
chr1	63531962	EFCAB7	441	1737
chr1	63648630	PGM1	1336	1001
chr1	63659697	PGM1	1789	548
chr1	64159159	ROR1	1754	4104
chr1	64177594	ROR1	1954	3904
chr1	64777783	RAVER2	575	3846
chr1	65392462	DNAJC6	1703	4259
chr1	65395004	DNAJC6	2213	3749
chr1	65570758	LEPR	495	7716
chr1	65592830	LEPR	837	7374
chr1	65636574	LEPR	3226	4985
chr1	66643594	SGIP1	540	10197
chr1	68159195	WLS	655	2061
chr1	75156931	LHX8	1398	860
chr1	75932287	ASB17	117	963
chr1	77926761	NEXN	921	2361
chr1	78492806	PTGFR	398	5031
chr1	78891675	ADGRL4	1934	1605
chr1	83906377	TTLL7	2456	5524
chr1	84398573	DNASE2B	90	1227
chr1	84414697	DNASE2B	996	321
chr1	84479306	RPF1	41	1907
chr1	84544211	SPATA1	897	2086
chr1	84563394	CTBS	844	5727
chr1	84565947	SPATA1	1551	1432
chr1	84565947	CTBS	615	5956
chr1	84574272	CTBS	168	6403
chr1	85258645	C1orf52	382	2872
chr1	85267691	BCL10	917	1916
chr1	86124899	COL24A1	1812	5022
chr1	86125265	COL24A1	1446	5388
chr1	86354584	ODF2L	1975	2223
chr1	86386938	ODF2L	439	3759
chr1	86434649	CLCA2	953	2982
chr1	86434689	CLCA2	993	2942
chr1	86447582	CLCA2	1865	2070
chr1	86455221	CLCA2	2603	1332
chr1	86482292	CLCA1	690	2314
chr1	88805891	PKN2	1985	4085
chr1	89009135	GBP3	1675	1362
chr1	89013391	GBP3	866	2171
chr1	89114258	GBP2	1175	2913
chr1	89117007	GBP2	1121	2967
chr1	89171895	GBP7	142	2284
chr1	89381813	GBP6	1083	3602
chr1	89381852	GBP6	1122	3563
chr1	89381885	GBP6	1155	3530
chr1	89582689	LRRC8B	473	7191
chr1	90940142	ZNF644	1274	4267
chr1	92180464	BTBD8	3008	2991
chr1	92181666	BTBD8	4210	1789
chr1	92513875	EVI5	2615	5180
chr1	94008289	ABCA4	5946	1382
chr1	94008772	ABCA4	5916	1412
chr1	94010832	ABCA4	5784	1544
chr1	94177975	ARHGAP29	2874	6078
chr1	94864816	SLC44A3	1407	974
chr1	100110377	SASS6	891	2957
chr1	101238976	S1PR1	236	2542
chr1	102886895	COL11A1	5113	2198
chr1	107573249	VAV3	2936	2089
chr1	107642679	VAV3	2164	2861
chr1	108722407	FNDC7	697	2393
chr1	108730834	FNDC7	1811	1279
chr1	108796239	STXBP3	1180	1309
chr1	108823664	AKNAD1	2229	821
chr1	108827293	AKNAD1	2116	934
chr1	108834448	AKNAD1	2013	1037
chr1	108852483	AKNAD1	450	2600
chr1	108897593	GPSM2	872	6280
chr1	108943574	CLCC1	898	4096
chr1	109094607	TMEM167B	442	2327
chr1	109164639	ELAPOR1	484	6396
chr1	109258723	CELSR2	4143	6872
chr1	109548660	GNAI3	46	8998
chr1	109606352	GNAT2	732	783
chr1	110195674	SLC6A17	2058	4361
chr1	110339822	RBM15	446	2927
chr1	110456232	PROK1	267	1126
chr1	110518047	KCNA10	1128	831
chr1	110518440	KCNA10	735	1224
chr1	110899207	CD53	790	715
chr1	111184247	CEPT1	1346	857
chr1	112449076	CTTNBP2NL	426	5438
chr1	112698089	MOV10	2430	950
chr1	112913924	SLC16A1	1675	2078
chr1	113653873	MAGI3	3003	3871
chr1	113905767	DCLRE1B	442	3313
chr1	113907040	DCLRE1B	495	3260
chr1	113962378	HIPK1	2254	5947
chr1	113973095	HIPK1	3427	4774
chr1	114137688	SYT6	974	3498
chr1	115768346	CASQ2	368	2225
chr1	115992231	SLC22A15	403	4302
chr1	116066564	SLC22A15	1525	3180
chr1	116133414	MAB21L3	1641	4735
chr1	116579508	IGSF3	3963	3272
chr1	116768525	CD2	861	704
chr1	117018196	CD101	1711	1831
chr1	117018307	CD101	1822	1720
chr1	117060534	TTF2	129	9310
chr1	117113466	TRIM45	2034	1502
chr1	117118132	TRIM45	1671	1865
chr1	117368060	MAN1A2	612	7964
chr1	119381101	HAO2	142	1330
chr1	119514535	HSD3B1	1150	519
chr1	119742923	PHGDH	1415	451
chr1	120069392	NOTCH2	270	11155
chr1	120449388	NBPF8	1946	5310
chr1	120449395	NBPF8	1953	5303
chr1	121374827	SRGAP2C	1396	5695
chr1	145872200	ANKRD35	2676	683
chr1	145872788	ANKRD35	2088	1271
chr1	145872994	ANKRD35	1882	1477
chr1	145873487	ANKRD35	1389	1970
chr1	145898994	ITGA10	2209	2921
chr1	145927267	ENSG00000280778	10	182
chr1	147242742	CHD1L	59	2908
chr1	147242777	CHD1L	94	2873
chr1	147287641	CHD1L	2248	719
chr1	147620166	BCL9	2662	3527
chr1	147624993	BCL9	4966	1223
chr1	147647471	ACP6	1714	5242
chr1	149934520	MTMR11	706	2134
chr1	150553930	ADAMTSL4	1189	3023
chr1	150558072	ADAMTSL4	2555	1657
chr1	150579566	MCL1	44	3906
chr1	150706557	HORMAD1	924	980
chr1	150755063	CTSS	418	3518
chr1	150836413	ARNT	598	4112
chr1	150966095	CERS2	1413	910
chr1	150968149	CERS2	561	1762
chr1	150986360	ANXA9	698	853
chr1	151142541	SEMA6C	383	3490
chr1	151286567	ZNF687	390	4405
chr1	151287067	ZNF687	890	3905
chr1	151540326	TUFT1	18	3089
chr1	151763100	MRPL9	216	1008
chr1	151837828	C2CD4D	1549	11
chr1	152085318	TCHHL1	2428	1178
chr1	152107347	TCHH	5954	1031
chr1	152107513	TCHH	5788	1197
chr1	152109445	TCHH	3856	3129
chr1	152220349	HRNR	1355	8274
chr1	152220810	HRNR	894	8735
chr1	152313650	FLG	1307	11486
chr1	152511653	LCE5A	336	524
chr1	152515503	CRCT1	213	505
chr1	152515587	CRCT1	297	421
chr1	152686995	LCE2B	206	402
chr1	152687003	LCE2B	214	394
chr1	152719598	C1orf68	77	872
chr1	152719996	C1orf68	475	474
chr1	152720036	C1orf68	515	434
chr1	152720112	C1orf68	591	358
chr1	152720305	C1orf68	784	165
chr1	152759698	KPRP	173	2358
chr1	152760091	KPRP	566	1965
chr1	152787599	LCE1E	373	827
chr1	152805098	LCE1C	451	267
chr1	152805392	LCE1C	157	561
chr1	152805432	LCE1C	117	601
chr1	152805488	LCE1C	61	657
chr1	152910134	IVL	400	1752
chr1	152910506	IVL	772	1380
chr1	152911132	IVL	1398	754
chr1	152911204	IVL	1470	682
chr1	152911235	IVL	1501	651
chr1	152911635	IVL	1901	251
chr1	152972118	SPRR4	295	456
chr1	153149834	SPRR2G	336	253
chr1	153297886	PGLYRP3	1446	771
chr1	153360697	S100A9	247	326
chr1	153373787	S100A12	408	77
chr1	153607688	S100A16	369	803
chr1	153614832	S100A14	476	578
chr1	153615864	S100A14	103	951
chr1	153960489	SLC39A1	658	1380
chr1	153960489	ENSG00000285779	914	1339
chr1	154321199	AQP10	107	1707
chr1	154323116	AQP10	430	1384
chr1	154323600	AQP10	564	1250
chr1	154324336	AQP10	825	989
chr1	154331500	ATP8B2	575	5399
chr1	154343958	ATP8B2	2039	3935
chr1	154348466	ATP8B2	3437	2537
chr1	154349187	ATP8B2	3857	2117
chr1	154772331	KCNN3	1408	11626
chr1	154945876	PBXIP1	1864	1343
chr1	154946604	PBXIP1	1136	2071
chr1	155016481	ZBTB7B	1564	2042
chr1	155054395	ADAM15	572	2364
chr1	155061442	ADAM15	2376	560
chr1	155260340	SCAMP3	586	959
chr1	155290559	PKLR	1780	1267
chr1	155290592	PKLR	1747	1300
chr1	155859720	SYT11	154	5028
chr1	156041653	UBQLN4	1581	2001
chr1	156137743	LMNA	1906	1272
chr1	156176427	SEMA4A	1925	1317
chr1	156298971	VHLL	336	348
chr1	156377340	RHBG	266	1524
chr1	156381908	RHBG	982	808
chr1	156384575	RHBG	1322	468
chr1	156477111	MEF2D	1183	4729
chr1	156480927	MEF2D	730	5182
chr1	156480948	MEF2D	709	5203
chr1	156530177	IQGAP3	4367	1646
chr1	156548587	IQGAP3	2022	3991
chr1	156556595	IQGAP3	1263	4750
chr1	156582056	TTC24	732	2226
chr1	156647022	BCAN	480	2817
chr1	156652460	BCAN	1677	1620
chr1	156669961	NES	4369	1199
chr1	156670364	NES	3966	1602
chr1	156670886	NES	3444	2124
chr1	156671745	NES	2585	2983
chr1	156723343	ISG20L2	1536	1449
chr1	156743766	HDGF	847	1462
chr1	156815190	SH2D2A	294	1350
chr1	156858662	INSRR	455	4745
chr1	156876441	NTRK1	1744	925
chr1	156879203	NTRK1	1957	712
chr1	157092572	ETV3L	1447	530
chr1	157092904	ETV3L	1115	862
chr1	157092947	ETV3L	1072	905
chr1	157597961	FCRL4	124	3342
chr1	157678581	FCRL3	2537	2101
chr1	157768584	FCRL2	771	1818
chr1	157802090	FCRL1	793	2276
chr1	158256877	CD1A	942	867
chr1	158354635	CD1E	412	1507
chr1	158398751	OR10T2	715	230
chr1	158399056	OR10T2	410	535
chr1	158677732	SPTA1	1112	6906
chr1	158718106	OR6K3	64	1780
chr1	158754747	OR6K6	28	1144
chr1	158766655	OR6N1	220	2420
chr1	158844029	MNDA	704	1012
chr1	159199851	CADM3	1204	2535
chr1	159440067	OR10J1	346	900
chr1	159440550	OR10J1	829	417
chr1	159535507	OR10J5	500	430
chr1	159809120	FCRL6	544	1422
chr1	159809193	FCRL6	617	1349
chr1	159927336	IGSF9	3763	296
chr1	160155085	ATP1A4	686	3123
chr1	160164415	ATP1A4	1476	2333
chr1	160190695	CASQ1	121	1757
chr1	160424115	VANGL2	1633	3721
chr1	160425147	VANGL2	1831	3523
chr1	160425213	VANGL2	1897	3457
chr1	160823652	LY9	1700	721
chr1	160823770	LY9	1818	603
chr1	160827894	LY9	2060	361
chr1	160950651	ITLN2	569	592
chr1	160998819	F11R	1030	3609
chr1	160998819	ENSG00000270149	1233	863
chr1	161021085	F11R	67	4572
chr1	161021085	ENSG00000270149	270	1826
chr1	161021116	F11R	36	4603
chr1	161051367	ARHGAP30	1633	2709
